Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
1,14,2,13,28,28
19,4,11,5,26,26
18,5,11,6,27,27
17,6,11,7,28,28
16,7,11,8,27,29
15,8,11,9,28,28
14,9,11,10,27,29
13,10,11,11,28,28
12,11,10,12,27,29
11,12,9,13,28,28
10,13,8,14,27,29
9,14,7,15,28,28
8,15,6,16,27,29
7,16,5,17,28,28
6,17,4,18,27,29
5,18,3,19,28,28
4,19,2,20,27,29
3,20,1,21,28,28
2,21,1,22,27,29
1,22,2,21,28,28
2,21,1,20,27,29
1,20,2,19,28,28
2,19,1,18,27,29
1,18,2,17,28,28
2,17,1,16,27,29
1,16,2,15,28,28
2,15,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
1,14,2,13,28,28
2,13,1,14,27,29
