Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
25,10,26,5,9,12
18,17,25,0,4,5
18,18,25,0,5,6
19,17,25,0,5,7
20,17,25,0,6,8
20,16,25,0,6,9
19,17,25,0,6,9
19,16,25,0,6,10
18,16,25,0,6,11
17,15,25,0,6,11
17,16,25,0,6,10
17,16,25,0,6,10
16,15,25,0,6,10
17,16,25,0,6,10
18,16,25,0,6,10
17,16,25,0,6,10
16,16,25,0,6,10
16,15,25,0,6,10
16,16,25,0,6,10
17,17,25,0,6,11
16,16,24,0,6,11
15,15,24,0,6,11
16,16,25,0,6,11
16,17,25,0,6,11
15,18,25,0,6,11
16,17,25,0,6,11
16,18,25,0,6,11
15,19,25,0,6,11
16,19,25,1,6,11
15,20,24,1,6,11
16,20,23,1,6,11
17,21,23,1,5,11
17,20,22,0,6,11
18,21,22,0,7,12
17,22,23,0,7,12
18,22,23,0,7,12
17,21,23,0,7,12
17,20,23,0,7,12
18,21,23,1,8,13
18,20,24,1,7,12
17,19,23,0,7,12
16,20,23,1,6,11
16,20,23,0,7,12
17,19,23,0,7,12
16,20,23,0,7,12
16,19,23,0,7,12
16,20,23,0,7,12
16,21,24,0,7,12
15,21,24,0,7,12
16,22,24,0,8,13
17,21,24,0,9,13
16,21,24,0,9,13
16,21,24,0,9,14
16,22,23,0,8,13
15,21,22,0,7,13
16,20,22,0,7,13
15,21,22,0,8,13
16,20,22,0,8,14
17,19,22,0,9,13
18,18,22,0,9,12
19,17,22,0,9,12
20,17,22,0,9,12
20,17,22,0,9,12
20,18,22,0,9,12
19,18,22,0,9,12
20,17,22,1,9,12
20,16,21,2,9,12
19,17,21,1,9,12
18,16,22,2,9,12
17,16,23,3,9,12
18,16,24,4,9,12
19,15,25,5,9,12
18,15,26,6,9,12
19,16,25,5,9,12
18,15,24,6,9,12
17,16,25,5,9,12
16,16,24,4,9,12
15,15,24,4,9,12
16,14,24,4,9,12
15,13,23,5,9,12
16,14,22,6,9,12
15,14,23,7,9,12
14,13,22,6,9,12
13,12,23,5,9,12
13,13,24,4,9,12
12,12,23,5,9,12
13,12,24,6,9,12
14,11,24,6,9,12
14,10,23,7,9,12
13,9,23,7,9,12
13,8,23,7,9,12
14,8,24,6,9,12
15,7,25,7,9,12
16,6,26,6,9,12
16,7,26,5,9,12
17,7,26,5,9,12
17,8,26,5,9,12
18,7,26,5,9,12
19,7,26,5,9,12
20,8,26,5,9,12
20,9,26,5,9,12
21,10,26,5,9,12
22,9,26,5,9,12
23,10,26,5,9,12
24,9,26,5,9,12
23,8,26,5,9,12
22,7,26,5,9,12
23,8,26,5,9,12
24,9,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
25,10,26,5,9,12
